rebalance_date,fund,asset,weight
2021-06-01,equity_equal_weight,AEP,0.02
2021-07-01,equity_equal_weight,AEP,0.02
2021-08-02,equity_equal_weight,AEP,0.02
2021-09-01,equity_equal_weight,AEP,0.02
2021-10-01,equity_equal_weight,AEP,0.02
2021-11-01,equity_equal_weight,AEP,0.02
2021-12-01,equity_equal_weight,AEP,0.02
2022-01-03,equity_equal_weight,AEP,0.02
2022-02-01,equity_equal_weight,AEP,0.02
2022-03-01,equity_equal_weight,AEP,0.02
2022-04-01,equity_equal_weight,AEP,0.02
2022-05-02,equity_equal_weight,AEP,0.02
2022-06-01,equity_equal_weight,AEP,0.02
2022-07-01,equity_equal_weight,AEP,0.02
2022-08-01,equity_equal_weight,AEP,0.02
2022-09-01,equity_equal_weight,AEP,0.02
2022-10-03,equity_equal_weight,AEP,0.02
2022-11-01,equity_equal_weight,AEP,0.02
2022-12-01,equity_equal_weight,AEP,0.02
2023-01-03,equity_equal_weight,AEP,0.02
2023-02-01,equity_equal_weight,AEP,0.02
2023-03-01,equity_equal_weight,AEP,0.02
2023-04-03,equity_equal_weight,AEP,0.02
2023-05-01,equity_equal_weight,AEP,0.02
2023-06-01,equity_equal_weight,AEP,0.02
2023-07-03,equity_equal_weight,AEP,0.02
2023-08-01,equity_equal_weight,AEP,0.02
2023-09-01,equity_equal_weight,AEP,0.02
2023-10-02,equity_equal_weight,AEP,0.02
2023-11-01,equity_equal_weight,AEP,0.02
2023-12-01,equity_equal_weight,AEP,0.02
2021-01-04,equity_equal_weight,AMD,0.02
2021-02-01,equity_equal_weight,AMD,0.02
2021-03-01,equity_equal_weight,AMD,0.02
2021-04-01,equity_equal_weight,AMD,0.02
2021-05-03,equity_equal_weight,AMD,0.02
2021-06-01,equity_equal_weight,AMD,0.02
2021-07-01,equity_equal_weight,AMD,0.02
2021-08-02,equity_equal_weight,AMD,0.02
2021-09-01,equity_equal_weight,AMD,0.02
2021-10-01,equity_equal_weight,AMD,0.02
2021-11-01,equity_equal_weight,AMD,0.02
2021-12-01,equity_equal_weight,AMD,0.02
2022-01-03,equity_equal_weight,AMD,0.02
2022-02-01,equity_equal_weight,AMD,0.02
2022-03-01,equity_equal_weight,AMD,0.02
2022-04-01,equity_equal_weight,AMD,0.02
2022-05-02,equity_equal_weight,AMD,0.02
2022-06-01,equity_equal_weight,AMD,0.02
2022-07-01,equity_equal_weight,AMD,0.02
2022-08-01,equity_equal_weight,AMD,0.02
2022-09-01,equity_equal_weight,AMD,0.02
2022-10-03,equity_equal_weight,AMD,0.02
2022-11-01,equity_equal_weight,AMD,0.02
2022-12-01,equity_equal_weight,AMD,0.02
2023-01-03,equity_equal_weight,AMD,0.02
2023-02-01,equity_equal_weight,AMD,0.02
2023-03-01,equity_equal_weight,AMD,0.02
2023-04-03,equity_equal_weight,AMD,0.02
2023-05-01,equity_equal_weight,AMD,0.02
2023-06-01,equity_equal_weight,AMD,0.02
2023-07-03,equity_equal_weight,AMD,0.02
2023-08-01,equity_equal_weight,AMD,0.02
2023-09-01,equity_equal_weight,AMD,0.02
2023-10-02,equity_equal_weight,AMD,0.02
2023-11-01,equity_equal_weight,AMD,0.02
2023-12-01,equity_equal_weight,AMD,0.02
2021-01-04,equity_equal_weight,AMGN,0.02
2021-02-01,equity_equal_weight,AMGN,0.02
2021-03-01,equity_equal_weight,AMGN,0.02
2021-04-01,equity_equal_weight,AMGN,0.02
2021-05-03,equity_equal_weight,AMGN,0.02
2021-06-01,equity_equal_weight,AMGN,0.02
2021-07-01,equity_equal_weight,AMGN,0.02
2021-08-02,equity_equal_weight,AMGN,0.02
2021-09-01,equity_equal_weight,AMGN,0.02
2021-10-01,equity_equal_weight,AMGN,0.02
2021-11-01,equity_equal_weight,AMGN,0.02
2021-12-01,equity_equal_weight,AMGN,0.02
2022-01-03,equity_equal_weight,AMGN,0.02
2022-02-01,equity_equal_weight,AMGN,0.02
2022-03-01,equity_equal_weight,AMGN,0.02
2022-04-01,equity_equal_weight,AMGN,0.02
2022-05-02,equity_equal_weight,AMGN,0.02
2022-06-01,equity_equal_weight,AMGN,0.02
2022-07-01,equity_equal_weight,AMGN,0.02
2022-08-01,equity_equal_weight,AMGN,0.02
2022-09-01,equity_equal_weight,AMGN,0.02
2022-10-03,equity_equal_weight,AMGN,0.02
2022-11-01,equity_equal_weight,AMGN,0.02
2022-12-01,equity_equal_weight,AMGN,0.02
2023-01-03,equity_equal_weight,AMGN,0.02
2023-02-01,equity_equal_weight,AMGN,0.02
2023-03-01,equity_equal_weight,AMGN,0.02
2023-04-03,equity_equal_weight,AMGN,0.02
2023-05-01,equity_equal_weight,AMGN,0.02
2023-06-01,equity_equal_weight,AMGN,0.02
2023-07-03,equity_equal_weight,AMGN,0.02
2023-08-01,equity_equal_weight,AMGN,0.02
2023-09-01,equity_equal_weight,AMGN,0.02
2023-10-02,equity_equal_weight,AMGN,0.02
2023-11-01,equity_equal_weight,AMGN,0.02
2023-12-01,equity_equal_weight,AMGN,0.02
2021-01-04,equity_equal_weight,AMT,0.02
2021-02-01,equity_equal_weight,AMT,0.02
2021-03-01,equity_equal_weight,AMT,0.02
2021-04-01,equity_equal_weight,AMT,0.02
2021-05-03,equity_equal_weight,AMT,0.02
2021-06-01,equity_equal_weight,AMT,0.02
2021-07-01,equity_equal_weight,AMT,0.02
2021-08-02,equity_equal_weight,AMT,0.02
2021-09-01,equity_equal_weight,AMT,0.02
2021-10-01,equity_equal_weight,AMT,0.02
2021-11-01,equity_equal_weight,AMT,0.02
2021-12-01,equity_equal_weight,AMT,0.02
2022-01-03,equity_equal_weight,AMT,0.02
2022-02-01,equity_equal_weight,AMT,0.02
2022-03-01,equity_equal_weight,AMT,0.02
2022-04-01,equity_equal_weight,AMT,0.02
2022-05-02,equity_equal_weight,AMT,0.02
2022-06-01,equity_equal_weight,AMT,0.02
2022-07-01,equity_equal_weight,AMT,0.02
2022-08-01,equity_equal_weight,AMT,0.02
2022-09-01,equity_equal_weight,AMT,0.02
2022-10-03,equity_equal_weight,AMT,0.02
2022-11-01,equity_equal_weight,AMT,0.02
2022-12-01,equity_equal_weight,AMT,0.02
2023-01-03,equity_equal_weight,AMT,0.02
2023-02-01,equity_equal_weight,AMT,0.02
2023-03-01,equity_equal_weight,AMT,0.02
2023-04-03,equity_equal_weight,AMT,0.02
2023-05-01,equity_equal_weight,AMT,0.02
2023-06-01,equity_equal_weight,AMT,0.02
2023-07-03,equity_equal_weight,AMT,0.02
2023-08-01,equity_equal_weight,AMT,0.02
2023-09-01,equity_equal_weight,AMT,0.02
2023-10-02,equity_equal_weight,AMT,0.02
2023-11-01,equity_equal_weight,AMT,0.02
2023-12-01,equity_equal_weight,AMT,0.02
2021-01-04,equity_equal_weight,BA,0.02
2021-02-01,equity_equal_weight,BA,0.02
2021-03-01,equity_equal_weight,BA,0.02
2021-04-01,equity_equal_weight,BA,0.02
2021-05-03,equity_equal_weight,BA,0.02
2021-06-01,equity_equal_weight,BA,0.02
2021-07-01,equity_equal_weight,BA,0.02
2021-08-02,equity_equal_weight,BA,0.02
2021-09-01,equity_equal_weight,BA,0.02
2021-10-01,equity_equal_weight,BA,0.02
2021-11-01,equity_equal_weight,BA,0.02
2021-12-01,equity_equal_weight,BA,0.02
2022-01-03,equity_equal_weight,BA,0.02
2022-02-01,equity_equal_weight,BA,0.02
2022-03-01,equity_equal_weight,BA,0.02
2022-04-01,equity_equal_weight,BA,0.02
2022-05-02,equity_equal_weight,BA,0.02
2022-06-01,equity_equal_weight,BA,0.02
2022-07-01,equity_equal_weight,BA,0.02
2022-08-01,equity_equal_weight,BA,0.02
2022-09-01,equity_equal_weight,BA,0.02
2022-10-03,equity_equal_weight,BA,0.02
2022-11-01,equity_equal_weight,BA,0.02
2022-12-01,equity_equal_weight,BA,0.02
2023-01-03,equity_equal_weight,BA,0.02
2023-02-01,equity_equal_weight,BA,0.02
2023-03-01,equity_equal_weight,BA,0.02
2023-04-03,equity_equal_weight,BA,0.02
2023-05-01,equity_equal_weight,BA,0.02
2023-06-01,equity_equal_weight,BA,0.02
2023-07-03,equity_equal_weight,BA,0.02
2023-08-01,equity_equal_weight,BA,0.02
2023-09-01,equity_equal_weight,BA,0.02
2023-10-02,equity_equal_weight,BA,0.02
2023-11-01,equity_equal_weight,BA,0.02
2023-12-01,equity_equal_weight,BA,0.02
2021-01-04,equity_equal_weight,CAT,0.02
2021-02-01,equity_equal_weight,CAT,0.02
2021-03-01,equity_equal_weight,CAT,0.02
2021-04-01,equity_equal_weight,CAT,0.02
2021-05-03,equity_equal_weight,CAT,0.02
2021-06-01,equity_equal_weight,CAT,0.02
2021-07-01,equity_equal_weight,CAT,0.02
2021-08-02,equity_equal_weight,CAT,0.02
2021-09-01,equity_equal_weight,CAT,0.02
2021-10-01,equity_equal_weight,CAT,0.02
2021-11-01,equity_equal_weight,CAT,0.02
2021-12-01,equity_equal_weight,CAT,0.02
2022-01-03,equity_equal_weight,CAT,0.02
2022-02-01,equity_equal_weight,CAT,0.02
2022-03-01,equity_equal_weight,CAT,0.02
2022-04-01,equity_equal_weight,CAT,0.02
2022-05-02,equity_equal_weight,CAT,0.02
2022-06-01,equity_equal_weight,CAT,0.02
2022-07-01,equity_equal_weight,CAT,0.02
2022-08-01,equity_equal_weight,CAT,0.02
2022-09-01,equity_equal_weight,CAT,0.02
2022-10-03,equity_equal_weight,CAT,0.02
2022-11-01,equity_equal_weight,CAT,0.02
2022-12-01,equity_equal_weight,CAT,0.02
2023-01-03,equity_equal_weight,CAT,0.02
2023-02-01,equity_equal_weight,CAT,0.02
2023-03-01,equity_equal_weight,CAT,0.02
2023-04-03,equity_equal_weight,CAT,0.02
2023-05-01,equity_equal_weight,CAT,0.02
2023-06-01,equity_equal_weight,CAT,0.02
2023-07-03,equity_equal_weight,CAT,0.02
2023-08-01,equity_equal_weight,CAT,0.02
2023-09-01,equity_equal_weight,CAT,0.02
2023-10-02,equity_equal_weight,CAT,0.02
2023-11-01,equity_equal_weight,CAT,0.02
2023-12-01,equity_equal_weight,CAT,0.02
2021-01-04,equity_equal_weight,CCI,0.02
2021-02-01,equity_equal_weight,CCI,0.02
2021-03-01,equity_equal_weight,CCI,0.02
2021-04-01,equity_equal_weight,CCI,0.02
2021-05-03,equity_equal_weight,CCI,0.02
2021-06-01,equity_equal_weight,CCI,0.02
2021-07-01,equity_equal_weight,CCI,0.02
2021-08-02,equity_equal_weight,CCI,0.02
2021-09-01,equity_equal_weight,CCI,0.02
2021-10-01,equity_equal_weight,CCI,0.02
2021-11-01,equity_equal_weight,CCI,0.02
2021-12-01,equity_equal_weight,CCI,0.02
2022-01-03,equity_equal_weight,CCI,0.02
2022-02-01,equity_equal_weight,CCI,0.02
2022-03-01,equity_equal_weight,CCI,0.02
2022-04-01,equity_equal_weight,CCI,0.02
2022-05-02,equity_equal_weight,CCI,0.02
2022-06-01,equity_equal_weight,CCI,0.02
2022-07-01,equity_equal_weight,CCI,0.02
2022-08-01,equity_equal_weight,CCI,0.02
2022-09-01,equity_equal_weight,CCI,0.02
2022-10-03,equity_equal_weight,CCI,0.02
2022-11-01,equity_equal_weight,CCI,0.02
2022-12-01,equity_equal_weight,CCI,0.02
2023-01-03,equity_equal_weight,CCI,0.02
2023-02-01,equity_equal_weight,CCI,0.02
2023-03-01,equity_equal_weight,CCI,0.02
2023-04-03,equity_equal_weight,CCI,0.02
2023-05-01,equity_equal_weight,CCI,0.02
2023-06-01,equity_equal_weight,CCI,0.02
2023-07-03,equity_equal_weight,CCI,0.02
2023-08-01,equity_equal_weight,CCI,0.02
2023-09-01,equity_equal_weight,CCI,0.02
2023-10-02,equity_equal_weight,CCI,0.02
2023-11-01,equity_equal_weight,CCI,0.02
2023-12-01,equity_equal_weight,CCI,0.02
2021-01-04,equity_equal_weight,CMCSA,0.02
2021-02-01,equity_equal_weight,CMCSA,0.02
2021-03-01,equity_equal_weight,CMCSA,0.02
2021-04-01,equity_equal_weight,CMCSA,0.02
2021-05-03,equity_equal_weight,CMCSA,0.02
2021-06-01,equity_equal_weight,CMCSA,0.02
2021-07-01,equity_equal_weight,CMCSA,0.02
2021-08-02,equity_equal_weight,CMCSA,0.02
2021-09-01,equity_equal_weight,CMCSA,0.02
2021-10-01,equity_equal_weight,CMCSA,0.02
2021-11-01,equity_equal_weight,CMCSA,0.02
2021-12-01,equity_equal_weight,CMCSA,0.02
2022-01-03,equity_equal_weight,CMCSA,0.02
2022-02-01,equity_equal_weight,CMCSA,0.02
2022-03-01,equity_equal_weight,CMCSA,0.02
2022-04-01,equity_equal_weight,CMCSA,0.02
2022-05-02,equity_equal_weight,CMCSA,0.02
2022-06-01,equity_equal_weight,CMCSA,0.02
2022-07-01,equity_equal_weight,CMCSA,0.02
2022-08-01,equity_equal_weight,CMCSA,0.02
2022-09-01,equity_equal_weight,CMCSA,0.02
2022-10-03,equity_equal_weight,CMCSA,0.02
2022-11-01,equity_equal_weight,CMCSA,0.02
2022-12-01,equity_equal_weight,CMCSA,0.02
2023-01-03,equity_equal_weight,CMCSA,0.02
2023-02-01,equity_equal_weight,CMCSA,0.02
2023-03-01,equity_equal_weight,CMCSA,0.02
2023-04-03,equity_equal_weight,CMCSA,0.02
2023-05-01,equity_equal_weight,CMCSA,0.02
2023-06-01,equity_equal_weight,CMCSA,0.02
2023-07-03,equity_equal_weight,CMCSA,0.02
2023-08-01,equity_equal_weight,CMCSA,0.02
2023-09-01,equity_equal_weight,CMCSA,0.02
2023-10-02,equity_equal_weight,CMCSA,0.02
2023-11-01,equity_equal_weight,CMCSA,0.02
2023-12-01,equity_equal_weight,CMCSA,0.02
2021-01-04,equity_equal_weight,COP,0.02
2021-02-01,equity_equal_weight,COP,0.02
2021-03-01,equity_equal_weight,COP,0.02
2021-04-01,equity_equal_weight,COP,0.02
2021-05-03,equity_equal_weight,COP,0.02
2021-06-01,equity_equal_weight,COP,0.02
2021-07-01,equity_equal_weight,COP,0.02
2021-08-02,equity_equal_weight,COP,0.02
2021-09-01,equity_equal_weight,COP,0.02
2021-10-01,equity_equal_weight,COP,0.02
2021-11-01,equity_equal_weight,COP,0.02
2021-12-01,equity_equal_weight,COP,0.02
2022-01-03,equity_equal_weight,COP,0.02
2022-02-01,equity_equal_weight,COP,0.02
2022-03-01,equity_equal_weight,COP,0.02
2022-04-01,equity_equal_weight,COP,0.02
2022-05-02,equity_equal_weight,COP,0.02
2022-06-01,equity_equal_weight,COP,0.02
2022-07-01,equity_equal_weight,COP,0.02
2022-08-01,equity_equal_weight,COP,0.02
2022-09-01,equity_equal_weight,COP,0.02
2022-10-03,equity_equal_weight,COP,0.02
2022-11-01,equity_equal_weight,COP,0.02
2022-12-01,equity_equal_weight,COP,0.02
2023-01-03,equity_equal_weight,COP,0.02
2023-02-01,equity_equal_weight,COP,0.02
2023-03-01,equity_equal_weight,COP,0.02
2023-04-03,equity_equal_weight,COP,0.02
2023-05-01,equity_equal_weight,COP,0.02
2023-06-01,equity_equal_weight,COP,0.02
2023-07-03,equity_equal_weight,COP,0.02
2023-08-01,equity_equal_weight,COP,0.02
2023-09-01,equity_equal_weight,COP,0.02
2023-10-02,equity_equal_weight,COP,0.02
2023-11-01,equity_equal_weight,COP,0.02
2023-12-01,equity_equal_weight,COP,0.02
2021-01-04,equity_equal_weight,CVX,0.02
2021-02-01,equity_equal_weight,CVX,0.02
2021-03-01,equity_equal_weight,CVX,0.02
2021-04-01,equity_equal_weight,CVX,0.02
2021-05-03,equity_equal_weight,CVX,0.02
2021-06-01,equity_equal_weight,CVX,0.02
2021-07-01,equity_equal_weight,CVX,0.02
2021-08-02,equity_equal_weight,CVX,0.02
2021-09-01,equity_equal_weight,CVX,0.02
2021-10-01,equity_equal_weight,CVX,0.02
2021-11-01,equity_equal_weight,CVX,0.02
2021-12-01,equity_equal_weight,CVX,0.02
2022-01-03,equity_equal_weight,CVX,0.02
2022-02-01,equity_equal_weight,CVX,0.02
2022-03-01,equity_equal_weight,CVX,0.02
2022-04-01,equity_equal_weight,CVX,0.02
2022-05-02,equity_equal_weight,CVX,0.02
2022-06-01,equity_equal_weight,CVX,0.02
2022-07-01,equity_equal_weight,CVX,0.02
2022-08-01,equity_equal_weight,CVX,0.02
2022-09-01,equity_equal_weight,CVX,0.02
2022-10-03,equity_equal_weight,CVX,0.02
2022-11-01,equity_equal_weight,CVX,0.02
2022-12-01,equity_equal_weight,CVX,0.02
2023-01-03,equity_equal_weight,CVX,0.02
2023-02-01,equity_equal_weight,CVX,0.02
2023-03-01,equity_equal_weight,CVX,0.02
2023-04-03,equity_equal_weight,CVX,0.02
2023-05-01,equity_equal_weight,CVX,0.02
2023-06-01,equity_equal_weight,CVX,0.02
2023-07-03,equity_equal_weight,CVX,0.02
2023-08-01,equity_equal_weight,CVX,0.02
2023-09-01,equity_equal_weight,CVX,0.02
2023-10-02,equity_equal_weight,CVX,0.02
2023-11-01,equity_equal_weight,CVX,0.02
2023-12-01,equity_equal_weight,CVX,0.02
2021-01-04,equity_equal_weight,D,0.02
2021-02-01,equity_equal_weight,D,0.02
2021-03-01,equity_equal_weight,D,0.02
2021-04-01,equity_equal_weight,D,0.02
2021-05-03,equity_equal_weight,D,0.02
2021-06-01,equity_equal_weight,D,0.02
2021-07-01,equity_equal_weight,D,0.02
2021-08-02,equity_equal_weight,D,0.02
2021-09-01,equity_equal_weight,D,0.02
2021-10-01,equity_equal_weight,D,0.02
2021-11-01,equity_equal_weight,D,0.02
2021-12-01,equity_equal_weight,D,0.02
2022-01-03,equity_equal_weight,D,0.02
2022-02-01,equity_equal_weight,D,0.02
2022-03-01,equity_equal_weight,D,0.02
2022-04-01,equity_equal_weight,D,0.02
2022-05-02,equity_equal_weight,D,0.02
2022-06-01,equity_equal_weight,D,0.02
2022-07-01,equity_equal_weight,D,0.02
2022-08-01,equity_equal_weight,D,0.02
2022-09-01,equity_equal_weight,D,0.02
2022-10-03,equity_equal_weight,D,0.02
2022-11-01,equity_equal_weight,D,0.02
2022-12-01,equity_equal_weight,D,0.02
2023-01-03,equity_equal_weight,D,0.02
2023-02-01,equity_equal_weight,D,0.02
2023-03-01,equity_equal_weight,D,0.02
2023-04-03,equity_equal_weight,D,0.02
2023-05-01,equity_equal_weight,D,0.02
2023-06-01,equity_equal_weight,D,0.02
2023-07-03,equity_equal_weight,D,0.02
2023-08-01,equity_equal_weight,D,0.02
2023-09-01,equity_equal_weight,D,0.02
2023-10-02,equity_equal_weight,D,0.02
2023-11-01,equity_equal_weight,D,0.02
2023-12-01,equity_equal_weight,D,0.02
2021-01-04,equity_equal_weight,DD,0.02
2021-02-01,equity_equal_weight,DD,0.02
2021-03-01,equity_equal_weight,DD,0.02
2021-04-01,equity_equal_weight,DD,0.02
2021-05-03,equity_equal_weight,DD,0.02
2021-06-01,equity_equal_weight,DD,0.02
2021-07-01,equity_equal_weight,DD,0.02
2021-08-02,equity_equal_weight,DD,0.02
2021-09-01,equity_equal_weight,DD,0.02
2021-10-01,equity_equal_weight,DD,0.02
2021-11-01,equity_equal_weight,DD,0.02
2021-12-01,equity_equal_weight,DD,0.02
2022-01-03,equity_equal_weight,DD,0.02
2022-02-01,equity_equal_weight,DD,0.02
2022-03-01,equity_equal_weight,DD,0.02
2022-04-01,equity_equal_weight,DD,0.02
2022-05-02,equity_equal_weight,DD,0.02
2022-06-01,equity_equal_weight,DD,0.02
2022-07-01,equity_equal_weight,DD,0.02
2022-08-01,equity_equal_weight,DD,0.02
2022-09-01,equity_equal_weight,DD,0.02
2022-10-03,equity_equal_weight,DD,0.02
2022-11-01,equity_equal_weight,DD,0.02
2022-12-01,equity_equal_weight,DD,0.02
2023-01-03,equity_equal_weight,DD,0.02
2023-02-01,equity_equal_weight,DD,0.02
2023-03-01,equity_equal_weight,DD,0.02
2023-04-03,equity_equal_weight,DD,0.02
2023-05-01,equity_equal_weight,DD,0.02
2023-06-01,equity_equal_weight,DD,0.02
2023-07-03,equity_equal_weight,DD,0.02
2023-08-01,equity_equal_weight,DD,0.02
2023-09-01,equity_equal_weight,DD,0.02
2023-10-02,equity_equal_weight,DD,0.02
2023-11-01,equity_equal_weight,DD,0.02
2023-12-01,equity_equal_weight,DD,0.02
2021-01-04,equity_equal_weight,DIS,0.02
2021-02-01,equity_equal_weight,DIS,0.02
2021-03-01,equity_equal_weight,DIS,0.02
2021-04-01,equity_equal_weight,DIS,0.02
2021-05-03,equity_equal_weight,DIS,0.02
2021-06-01,equity_equal_weight,DIS,0.02
2021-07-01,equity_equal_weight,DIS,0.02
2021-08-02,equity_equal_weight,DIS,0.02
2021-09-01,equity_equal_weight,DIS,0.02
2021-10-01,equity_equal_weight,DIS,0.02
2021-11-01,equity_equal_weight,DIS,0.02
2021-12-01,equity_equal_weight,DIS,0.02
2022-01-03,equity_equal_weight,DIS,0.02
2022-02-01,equity_equal_weight,DIS,0.02
2022-03-01,equity_equal_weight,DIS,0.02
2022-04-01,equity_equal_weight,DIS,0.02
2022-05-02,equity_equal_weight,DIS,0.02
2022-06-01,equity_equal_weight,DIS,0.02
2022-07-01,equity_equal_weight,DIS,0.02
2022-08-01,equity_equal_weight,DIS,0.02
2022-09-01,equity_equal_weight,DIS,0.02
2022-10-03,equity_equal_weight,DIS,0.02
2022-11-01,equity_equal_weight,DIS,0.02
2022-12-01,equity_equal_weight,DIS,0.02
2023-01-03,equity_equal_weight,DIS,0.02
2023-02-01,equity_equal_weight,DIS,0.02
2023-03-01,equity_equal_weight,DIS,0.02
2023-04-03,equity_equal_weight,DIS,0.02
2023-05-01,equity_equal_weight,DIS,0.02
2023-06-01,equity_equal_weight,DIS,0.02
2023-07-03,equity_equal_weight,DIS,0.02
2023-08-01,equity_equal_weight,DIS,0.02
2023-09-01,equity_equal_weight,DIS,0.02
2023-10-02,equity_equal_weight,DIS,0.02
2023-11-01,equity_equal_weight,DIS,0.02
2023-12-01,equity_equal_weight,DIS,0.02
2021-01-04,equity_equal_weight,DOW,0.02
2021-02-01,equity_equal_weight,DOW,0.02
2021-03-01,equity_equal_weight,DOW,0.02
2021-04-01,equity_equal_weight,DOW,0.02
2021-05-03,equity_equal_weight,DOW,0.02
